Banka,Kart Numarasi,Son Kullanma Tarihi,Guvenlik Numarasi (CVV),Ticari Kart,Kart Tipi
Ziraat Bankası,4546711234567894,12/26,000,Hayır,Kredi Kartı / VISA
Akbank,5571135571135575,12/26,000,Hayır,Kredi Kartı / MASTERCARD
Halk Bankası,4531444531442283,12/26,001,Hayır,Kredi Kartı / VISA
Halk Bankası,5818775818772285,12/26,001,Hayır,Debit / MASTERCARD
İş Bankası,4508034508034509,12/26,000,Evet,Kredi Kartı / VISA
İş Bankası,6501738564461396,12/26,000,Hayır,Kredi Kartı / TROY - 3DS Şifre: aygünyl (örn: 102824)
İş Bankası,5406675406675403,12/26,000,Hayır,Kredi Kartı / MASTERCARD
DenizBank,5200190009721495,01/30,462,Hayır,Kredi Kartı / MASTERCARD
QNB Finansbank,4155650100416111,01/50,715,Hayır,Kredi Kartı / VISA
QNB Finansbank,4022780198283155,01/50,105,Evet,Kredi Kartı / VISA
Vakıf Bank,5421190122090656,04/28,916,Hayır,Kredi Kartı / MASTERCARD
Vakıf Bank,5421190122944522,04/28,466,Hayır,Kredi Kartı / MASTERCARD
Vakıf Bank,5521010140829928,12/29,691,Hayır,Kredi Kartı / MASTERCARD
Yapı Kredi Bankası,5400611072814659,08/28,000,Hayır,Kredi Kartı / MASTERCARD
Yapı Kredi Bankası,5400631213696252,02/31,567,Hayır,Kredi Kartı / MASTERCARD
Yabancı Kart,9792004525458548,12/26,000,Hayır,Debit / TROY - 3DS Şifre: aygünyl (örn: 102824)
Yabancı Kart,4176661000001015,12/26,000,Hayır,Kredi Kartı / VISA
Nkolay Dynamic OTP,4155650100416111,0130,715,,Visa 3DS Dynamic OTP
