Banka Adi,Kart Numarasi,Kart Semasi,Son Kullanma Tarihi,CVC Kodu,Sifre
FİNANSBANK,4155650100416111,VISA,2030/01,715,
VAKIFBANK,4029400000000001,VISA,2028/05,951,
YAPIKREDİ,4506347010299085,VISA,2026/09,000,34020
İŞBANK,4543600368092766,VISA,2030/06,951,
GARANTİ BANKASI,5289394722895016,MasterCard,2026/01,030,
GARANTİ BANKASI,5549600797792011,MasterCard,2027/08,460,147852
GARANTİ BANKASI,5549603469426017,MasterCard,2027/01,916,147852
HALKBANK,4531444531442283,VISA,2026/12,001,
ZİRAAT BANKASI,4546711234567894,VISA,2026/12,000,
AKTİF YATIRIM BANKASI A.Ş,4531444531442283,VISA,2026/12,000,
T. FİNANS KATILIM BANKASI A.Ş.,5218487962459752,MasterCard,2026/12,000,
TEB-MASTER,5101385101385104,MasterCard,2030/12,000,
HALKBANK-MASTER,5404355404355405,MasterCard,2030/12,000,
INGBANK-VISA,4555714555714556,VISA,2030/12,000,
ANADOLUBANK,4258464258464253,VISA,2026/12,000,
DENİZBANK,5200190006338608,MasterCard,2030/01,410,123456
AKBANK,4355093000315232,VISA,2028/01,264,123456
AKBANK,4355093000777068,VISA,2040/11,313,123456
VAKIFBANK,5421190122090656,MasterCard,2028/04,916,123456
AKBANK,5404355404355405,MasterCard,2026/12,001,
